scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
board-64-keyed-true,replace-subtree,160,2549,7440,160,structured,251641503,1,base,1551,7,48,636,143,50,25,408
board-256-keyed-false,one-label,160,1428,2070,160,structured,251641503,1,base,113,0,144,1111,975,27,72,10
board-256-keyed-false,all-labels,160,17423,27664,160,structured,251641503,1,base,8572,0,177,8382,1059,67,114,1354
board-256-keyed-false,reverse,160,17627,18380,160,structured,251641503,1,base,8477,45,582,8234,1035,64,110,1334
board-256-keyed-false,replace-subtree,160,25153,26547,160,structured,251641503,1,base,21173,52,179,3387,1075,63,96,2094
board-256-keyed-true,one-label,160,1111,1431,160,structured,251641503,1,base,325,0,134,616,492,26,70,8
board-256-keyed-true,all-labels,160,5092,5528,160,structured,251641503,1,base,1824,0,146,2802,506,61,96,1084
board-256-keyed-true,reverse,160,2448,2948,160,structured,251641503,1,base,364,10,280,1525,491,58,81,575
board-256-keyed-true,replace-subtree,160,24354,25977,160,structured,251641503,1,base,21457,51,175,2305,553,59,98,1547
dashboard,mount-first-frame,160,456,574,160,terminal,,2,base,,,,,,,,
agent,mount-first-frame,160,177,287,160,terminal,,2,base,,,,,,,,
files,mount-first-frame,160,368,559,160,terminal,,2,base,,,,,,,,
editor,mount-first-frame,160,154,198,160,terminal,,2,base,,,,,,,,
finance,mount-first-frame,160,548,803,160,terminal,,2,base,,,,,,,,
board-16-keyed-false,one-label,160,39,42,160,terminal,1359462507,2,base,13,0,6,0,0,0,0,0
board-16-keyed-false,all-labels,160,161,219,160,terminal,1359462507,2,base,134,0,7,0,0,0,0,0
board-16-keyed-false,reverse,160,164,221,160,terminal,1359462507,2,base,135,1,7,0,0,0,0,0
board-16-keyed-false,replace-subtree,160,158,189,160,terminal,1359462507,2,base,116,1,8,0,0,0,0,0
board-16-keyed-true,one-label,160,50,62,160,terminal,1359462507,2,base,23,0,6,0,0,0,0,0
board-16-keyed-true,all-labels,160,102,122,160,terminal,1359462507,2,base,76,0,7,0,0,0,0,0
board-16-keyed-true,reverse,160,52,71,160,terminal,1359462507,2,base,24,0,7,0,0,0,0,0
board-16-keyed-true,replace-subtree,160,186,258,160,terminal,1359462507,2,base,145,1,8,0,0,0,0,0
board-64-keyed-false,one-label,160,88,113,160,terminal,251641503,2,base,28,0,37,0,0,0,0,0
board-64-keyed-false,all-labels,160,771,928,160,terminal,251641503,2,base,704,0,38,0,0,0,0,0
