scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,version,phasesUs
board-256-keyed-true,all-labels,300,604,889,300,terminal,251641503,1,candidate,"{""build"": 442, ""coverage"": 0, ""layout"": 0, ""paint"": 131, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,reverse,300,505,764,300,terminal,251641503,1,candidate,"{""build"": 332, ""coverage"": 0, ""layout"": 8, ""paint"": 128, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,replace-subtree,300,2628,3426,300,terminal,251641503,1,candidate,"{""build"": 2382, ""coverage"": 0, ""layout"": 26, ""paint"": 151, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
dashboard,mount-first-frame,300,494,687,300,terminal,,1,base,
agent,mount-first-frame,300,170,242,300,terminal,,1,base,
files,mount-first-frame,300,372,515,300,terminal,,1,base,
editor,mount-first-frame,300,180,250,300,terminal,,1,base,
finance,mount-first-frame,300,616,802,300,terminal,,1,base,
board-16-keyed-false,one-label,300,31,34,300,terminal,1359462507,1,base,"{""build"": 5, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,all-labels,300,40,43,300,terminal,1359462507,1,base,"{""build"": 13, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,reverse,300,43,51,300,terminal,1359462507,1,base,"{""build"": 14, ""coverage"": 0, ""layout"": 1, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,replace-subtree,300,87,107,300,terminal,1359462507,1,base,"{""build"": 45, ""coverage"": 0, ""layout"": 1, ""paint"": 8, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,one-label,300,44,51,300,terminal,1359462507,1,base,"{""build"": 19, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
