kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,run,variant
plain,spec,False,1000,copy-all,50,0,4379940,2704721301,116,131,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,False,1000,open,50,50,0,1830451483,1399,1528,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,rebuild-same,50,0,0,1830451483,76,79,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,rebuild-equal,50,0,0,1830451483,79,86,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,edit,50,50,0,37686951,1453,1649,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,resize,50,50,0,1830451483,105,117,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,drag,50,50,0,1797951353,78,81,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,copy,50,0,14340,4053437227,82,86,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,copy-all,50,0,4379940,2704721301,115,129,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,10000,open,50,50,0,1830451483,28602,30519,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,10000,rebuild-same,50,0,0,1830451483,77,92,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,10000,rebuild-equal,50,0,0,1830451483,76,78,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,10000,edit,50,50,0,37686951,29817,31493,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,10000,resize,50,50,0,1830451483,24664,29980,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,10000,drag,50,50,0,2724726841,103,277,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,10000,copy,50,0,14340,1404687173,155,202,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,10000,copy-all,50,0,43799940,3813876293,570,1523,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,10000,open,50,50,0,1830451483,28183,29997,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
